Max_Power (W),Boost_Clock (MHz),Core_Speed (MHz),Process (nm),Memory (GB),Memory_Bandwidth (GB/s),Power_Connector,SLI/Crossfire Support
150,1189.6225218080888,931.8667621776505,55,2048,128,10.29451395572666,No
105,1189.6225218080888,931.8667621776505,55,2048,51.2,10.29451395572666,No
65,836,931.8667621776505,28,2792.3431903373594,34.1,10.29451395572666,No
150,1189.6225218080888,931.8667621776505,55,1024,63.6,10.29451395572666,No
65,1189.6225218080888,931.8667621776505,28,2792.3431903373594,34.1,10.29451395572666,No
35,686,931.8667621776505,28,2792.3431903373594,34.1,10.29451395572666,No
95,1189.6225218080888,757,28,2792.3431903373594,34.1,10.29451395572666,No
95,1189.6225218080888,720,28,2792.3431903373594,34.1,10.29451395572666,No
25,1189.6225218080888,931.8667621776505,28,2792.3431903373594,25.6,10.29451395572666,No
100,1189.6225218080888,931.8667621776505,32,2792.3431903373594,34.1,10.29451395572666,No
65,1189.6225218080888,931.8667621776505,28,2792.3431903373594,29.9,10.29451395572666,No
25,1189.6225218080888,931.8667621776505,28,2792.3431903373594,25.6,10.29451395572666,No
65,844,720,40,2792.3431903373594,34.1,10.29451395572666,Yes
65,1189.6225218080888,931.8667621776505,28,2792.3431903373594,29.9,10.29451395572666,No
65,844,760,40,2792.3431903373594,34.1,10.29451395572666,Yes
65,1189.6225218080888,931.8667621776505,28,2792.3431903373594,29.9,10.29451395572666,No
65,1189.6225218080888,931.8667621776505,32,2792.3431903373594,29.9,10.29451395572666,No
65,844,760,40,2792.3431903373594,34.1,10.29451395572666,Yes
65,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,25.6,10.29451395572666,No
65,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,133.48198064035742,10.29451395572666,No
65,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,133.48198064035742,10.29451395572666,No
25,1189.6225218080888,931.8667621776505,28.836178861788618,256,8,10.29451395572666,Yes
100,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,133.48198064035742,10.29451395572666,No
25,1189.6225218080888,931.8667621776505,28.836178861788618,256,6.4,10.29451395572666,Yes
35,1189.6225218080888,931.8667621776505,28.836178861788618,256,16,10.29451395572666,Yes
25,1189.6225218080888,931.8667621776505,28.836178861788618,256,133.48198064035742,10.29451395572666,Yes
20,1189.6225218080888,931.8667621776505,28.836178861788618,256,6.4,10.29451395572666,Yes
190,1189.6225218080888,870,55,1024,134.4,12,Yes
64,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,29.9,10.29451395572666,No
190,1189.6225218080888,1000,55,1024,134.4,12,No
20,1189.6225218080888,931.8667621776505,28.836178861788618,256,6.4,10.29451395572666,Yes
190,1189.6225218080888,901,55,1024,128,12,Yes
420,1189.6225218080888,931.8667621776505,55,2048,230.4,10.29451395572666,Yes
190,1189.6225218080888,960,55,1024,134.4,12,Yes
150,1189.6225218080888,750,55,1024,115.2,12,Yes
190,1189.6225218080888,850,55,1024,124.8,12,Yes
150,1189.6225218080888,931.8667621776505,55,512,115.2,10.29451395572666,Yes
150,1189.6225218080888,780,55,512,121.6,12,Yes
250,1189.6225218080888,625,55,2048,63.6,10.29451395572666,Yes
130,1189.6225218080888,931.8667621776505,55,512,96,10.29451395572666,Yes
110,1189.6225218080888,625,55,1024,63.6,6,Yes
110,1189.6225218080888,640,55,512,60.2,10.29451395572666,Yes
110,1189.6225218080888,625,55,512,63.6,10.29451395572666,Yes
95,1189.6225218080888,575,55,512,57.6,6,Yes
95,1189.6225218080888,575,55,512,57.6,6,Yes
59,1189.6225218080888,750,55,1024,27.9,10.29451395572666,Yes
80,1189.6225218080888,750,40,512,51.2,6,Yes
110,1189.6225218080888,931.8667621776505,55,512,57.6,10.29451395572666,Yes
75,1189.6225218080888,931.8667621776505,40,512,51.2,10.29451395572666,Yes
59,1189.6225218080888,750,55,1024,25.6,10.29451395572666,Yes
59,1189.6225218080888,750,55,1024,25.6,10.29451395572666,Yes
59,1189.6225218080888,750,55,512,32.1,10.29451395572666,Yes
48,1189.6225218080888,600,55,1024,24,10.29451395572666,Yes
48,1189.6225218080888,600,55,1024,22.4,10.29451395572666,Yes
59,1189.6225218080888,750,55,1024,25.6,10.29451395572666,Yes
20,1189.6225218080888,600,55,512,6.4,10.29451395572666,No
48,1189.6225218080888,931.8667621776505,55,512,12.8,10.29451395572666,Yes
48,1189.6225218080888,931.8667621776505,55,1024,12.8,10.29451395572666,Yes
25,1189.6225218080888,600,55,256,12.8,10.29451395572666,Yes
20,1189.6225218080888,600,55,1024,8,10.29451395572666,Yes
25,1189.6225218080888,600,55,512,12.8,10.29451395572666,No
59,1189.6225218080888,750,55,512,25.6,10.29451395572666,Yes
20,1189.6225218080888,600,55,512,6.4,10.29451395572666,Yes
105,1189.6225218080888,650,55,1024,57.6,10.29451395572666,Yes
75,1189.6225218080888,500,55,768,24,10.29451395572666,Yes
50,1189.6225218080888,500,55,512,16,10.29451395572666,Yes
165,1189.6225218080888,825,55,1024,57.6,10.29451395572666,Yes
106,1189.6225218080888,777,55,512,72.1,10.29451395572666,Yes
140,1189.6225218080888,931.8667621776505,55,1024,106,10.29451395572666,Yes
75,1189.6225218080888,931.8667621776505,55,256,26.6,10.29451395572666,Yes
75,1189.6225218080888,931.8667621776505,55,256,26.6,10.29451395572666,Yes
35,1189.6225218080888,567,28.836178861788618,512,8,10.29451395572666,No
75,1189.6225218080888,931.8667621776505,55,256,53.1,10.29451395572666,Yes
65,1189.6225218080888,931.8667621776505,55,256,25.6,10.29451395572666,Yes
30,1189.6225218080888,931.8667621776505,55,256,15.2,10.29451395572666,Yes
75,1189.6225218080888,931.8667621776505,55,512,53.1,10.29451395572666,Yes
65,1189.6225218080888,931.8667621776505,55,256,133.48198064035742,10.29451395572666,No
145,1189.6225218080888,931.8667621776505,55,1536,163.2,10.29451395572666,Yes
25,1189.6225218080888,931.8667621776505,55,256,8,10.29451395572666,No
47,1150,300,14,128,29.9,10.29451395572666,No
28,1100,300,14,2792.3431903373594,29.9,10.29451395572666,No
47,1300,931.8667621776505,22,128,12.8,10.29451395572666,No
15,950,300,14,2792.3431903373594,34.1,10.29451395572666,No
12,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,17.1,10.29451395572666,No
28,1100,300,14,2792.3431903373594,34.1,10.29451395572666,No
125,1189.6225218080888,931.8667621776505,28,4096,174.3,10.29451395572666,Yes
125,1189.6225218080888,723,28,4096,160,10.29451395572666,Yes
100,900,850,28,4096,153.6,10.29451395572666,Yes
125,1189.6225218080888,723,28,4096,160,10.29451395572666,Yes
100,950,900,28,4096,160,10.29451395572666,Yes
200,900,850,28,4096,307.2,10.29451395572666,Yes
35,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,8.5,10.29451395572666,No
9,1189.6225218080888,280,40,2792.3431903373594,8.5,10.29451395572666,No
100,1189.6225218080888,700,40,2048,128,10.29451395572666,Yes
35,1189.6225218080888,931.8667621776505,55,1024,25.6,10.29451395572666,Yes
50,1189.6225218080888,700,40,1024,64,10.29451395572666,Yes
39,1189.6225218080888,625,40,1024,64,10.29451395572666,Yes
24,1189.6225218080888,500,40,1024,25.6,10.29451395572666,Yes
100,900,850,28,4096,153.6,10.29451395572666,Yes
26,1189.6225218080888,650,40,1024,25.6,10.29451395572666,No
30,1189.6225218080888,650,40,1024,51.2,10.29451395572666,No
15,1189.6225218080888,450,40,1024,25.6,10.29451395572666,No
15,1189.6225218080888,750,40,1024,12.8,10.29451395572666,No
35,1189.6225218080888,931.8667621776505,55,1024,25.6,10.29451395572666,Yes
20,1189.6225218080888,931.8667621776505,55,1024,19.2,10.29451395572666,Yes
15,1189.6225218080888,931.8667621776505,55,1024,12.8,10.29451395572666,No
15,1189.6225218080888,931.8667621776505,40,512,12.8,10.29451395572666,No
10,1189.6225218080888,931.8667621776505,55,1024,9.6,10.29451395572666,No
200,900,850,28,4096,307.2,10.29451395572666,Yes
15,1189.6225218080888,931.8667621776505,40,1024,14.4,10.29451395572666,No
11,1189.6225218080888,675,40,1024,12.8,10.29451395572666,No
100,900,850,28,2048,153.6,10.29451395572666,Yes
13,1189.6225218080888,931.8667621776505,55,512,12.8,10.29451395572666,No
35,1189.6225218080888,931.8667621776505,40,1024,28.8,10.29451395572666,Yes
7,1189.6225218080888,500,40,1024,12.8,10.29451395572666,No
25,1189.6225218080888,550,40,1024,51.2,10.29451395572666,No
50,775,931.8667621776505,28,2048,72,10.29451395572666,Yes
45,725,931.8667621776505,28,2048,72,10.29451395572666,Yes
35,900,850,28,2048,64,10.29451395572666,Yes
35,1189.6225218080888,931.8667621776505,28,2048,32,10.29451395572666,Yes
20,825,775,28,2048,72,10.29451395572666,Yes
45,775,931.8667621776505,28,2048,32,10.29451395572666,Yes
20,775,620,28,2048,64,10.29451395572666,Yes
15,700,650,28,1024,32,10.29451395572666,Yes
20,825,670,28,2048,28.8,10.29451395572666,Yes
75,1189.6225218080888,680,40,2048,115.2,10.29451395572666,Yes
25,1189.6225218080888,931.8667621776505,28,2792.3431903373594,25.6,10.29451395572666,No
50,1189.6225218080888,580,40,1024,115.2,10.29451395572666,Yes
50,1189.6225218080888,675,40,1024,25.6,10.29451395572666,No
39,1189.6225218080888,575,40,2048,25.6,10.29451395572666,No
50,1189.6225218080888,675,40,1024,64,10.29451395572666,Yes
35,1189.6225218080888,725,40,2048,51.2,10.29451395572666,Yes
100,1189.6225218080888,715,40,2048,115.2,10.29451395572666,Yes
35,1189.6225218080888,725,40,1024,51.2,10.29451395572666,Yes
30,1189.6225218080888,650,40,1024,51.2,10.29451395572666,No
39,1189.6225218080888,725,40,1024,25.6,10.29451395572666,Yes
26,1189.6225218080888,485,40,1024,25.6,10.29451395572666,Yes
26,1189.6225218080888,600,40,1024,25.6,10.29451395572666,No
11,1189.6225218080888,800,40,1024,12.8,10.29451395572666,No
14,1189.6225218080888,750,40,512,25.6,10.29451395572666,No
26,1189.6225218080888,500,40,1024,25.6,10.29451395572666,No
11,1189.6225218080888,600,40,1024,12.8,10.29451395572666,No
11,1189.6225218080888,750,40,1024,12.8,10.29451395572666,No
7,1189.6225218080888,500,40,1024,14.4,10.29451395572666,No
11,1189.6225218080888,480,40,1024,12.8,10.29451395572666,No
7,1189.6225218080888,500,40,1024,12.8,10.29451395572666,No
15,1189.6225218080888,931.8667621776505,28,2792.3431903373594,25.6,10.29451395572666,No
8,1189.6225218080888,931.8667621776505,28,2792.3431903373594,17.1,10.29451395572666,No
15,1189.6225218080888,931.8667621776505,28,2792.3431903373594,25.6,10.29451395572666,No
18,1189.6225218080888,931.8667621776505,40,2792.3431903373594,133.48198064035742,10.29451395572666,No
4,1189.6225218080888,931.8667621776505,28,2792.3431903373594,17.1,10.29451395572666,No
9,1189.6225218080888,931.8667621776505,40,2792.3431903373594,25.6,10.29451395572666,No
9,1189.6225218080888,931.8667621776505,40,2792.3431903373594,133.48198064035742,10.29451395572666,No
8,1189.6225218080888,931.8667621776505,28,2792.3431903373594,133.48198064035742,10.29451395572666,No
75,1189.6225218080888,700,28,2048,128,10.29451395572666,Yes
15,1189.6225218080888,931.8667621776505,28,2792.3431903373594,21.3,10.29451395572666,No
18,1189.6225218080888,931.8667621776505,40,2792.3431903373594,133.48198064035742,10.29451395572666,No
40,1189.6225218080888,675,28,2048,64,10.29451395572666,Yes
45,1189.6225218080888,800,28,2048,64,10.29451395572666,Yes
32,1189.6225218080888,675,28,2048,64,10.29451395572666,No
100,1189.6225218080888,850,28,2048,153.6,10.29451395572666,Yes
200,1189.6225218080888,850,28,4096,307.2,10.29451395572666,Yes
25,675,575,28,2048,28.8,10.29451395572666,Yes
25,1189.6225218080888,725,40,1024,57.6,10.29451395572666,Yes
20,1189.6225218080888,600,40,1024,28.8,10.29451395572666,No
20,1189.6225218080888,500,40,1024,28.8,10.29451395572666,Yes
20,1189.6225218080888,600,40,2048,28.8,10.29451395572666,Yes
28,1189.6225218080888,575,28,1024,64,10.29451395572666,Yes
32,1189.6225218080888,675,28,1024,64,10.29451395572666,Yes
20,1189.6225218080888,725,40,1024,28.8,10.29451395572666,Yes
20,1189.6225218080888,450,40,1024,25.6,10.29451395572666,No
20,1189.6225218080888,450,40,1024,25.6,10.29451395572666,No
14,1189.6225218080888,450,40,1024,25.6,10.29451395572666,Yes
18,1189.6225218080888,600,40,1024,25.6,10.29451395572666,Yes
11,1189.6225218080888,450,40,1024,12.8,10.29451395572666,No
11,1189.6225218080888,450,40,1024,14.4,10.29451395572666,No
14,1189.6225218080888,500,40,2048,14.4,10.29451395572666,Yes
13,1189.6225218080888,500,40,1024,25.6,10.29451395572666,Yes
7,1189.6225218080888,600,40,1024,14.4,10.29451395572666,No
7,1189.6225218080888,700,40,1024,14.4,10.29451395572666,No
7,1189.6225218080888,800,40,512,14.4,10.29451395572666,No
9,1189.6225218080888,800,40,1024,30.4,10.29451395572666,No
11,1189.6225218080888,750,40,1024,12.8,10.29451395572666,No
18,680,523,40,2792.3431903373594,10.7,10.29451395572666,No
7,1189.6225218080888,500,40,1024,14.4,10.29451395572666,No
5,1189.6225218080888,500,40,1024,12.8,10.29451395572666,No
18,1189.6225218080888,500,40,2792.3431903373594,8.5,10.29451395572666,No
75,925,931.8667621776505,28,2048,64,10.29451395572666,Yes
50,925,931.8667621776505,28,2048,64,10.29451395572666,Yes
35,1189.6225218080888,931.8667621776505,28,2048,64,10.29451395572666,Yes
50,1189.6225218080888,931.8667621776505,28,2048,64,10.29451395572666,Yes
50,775,931.8667621776505,28,2048,64,10.29451395572666,Yes
35,1189.6225218080888,715,28,2048,64,10.29451395572666,No
35,825,800,28,2048,32,10.29451395572666,Yes
35,980,940,28,2048,16,10.29451395572666,No
35,715,620,28,4096,28.8,10.29451395572666,No
30,825,725,28,4096,32,10.29451395572666,Yes
20,940,925,28,4096,16,10.29451395572666,No
17,1189.6225218080888,931.8667621776505,28,1024,14.4,10.29451395572666,No
13,1189.6225218080888,931.8667621776505,28,1024,14.4,10.29451395572666,No
20,855,780,28,4096,16,10.29451395572666,No
75,1000,900,28,4096,88,10.29451395572666,Yes
75,1189.6225218080888,1000,28,4096,96,10.29451395572666,Yes
75,1100,1000,28,4096,96,10.29451395572666,Yes
75,925,900,28,4096,72,10.29451395572666,Yes
50,925,931.8667621776505,28,4096,64,10.29451395572666,Yes
50,1189.6225218080888,625,28,4096,64,10.29451395572666,Yes
25,1021,943,28,2048,16,10.29451395572666,No
75,1015,1000,28,2048,35.2,10.29451395572666,Yes
50,1015,1000,28,2048,17.6,10.29451395572666,No
50,1015,1000,28,4096,17.6,10.29451395572666,No
25,1189.6225218080888,1070,28,2048,17.6,10.29451395572666,No
25,1030,1000,28,2048,16,10.29451395572666,No
20,855,780,28,2048,16,10.29451395572666,No
25,1030,1000,28,4096,16,10.29451395572666,No
75,1000,900,28,4096,88,10.29451395572666,Yes
75,1100,1000,28,4096,96,10.29451395572666,Yes
14,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,10.7,10.29451395572666,No
12,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,17.1,10.29451395572666,No
25,1189.6225218080888,1070,28,4096,17.6,10.29451395572666,No
35,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,17.1,10.29451395572666,No
18,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,12.8,10.29451395572666,No
18,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,12.8,10.29451395572666,No
35,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,17.1,10.29451395572666,No
35,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,17.1,10.29451395572666,No
35,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,17.1,10.29451395572666,No
35,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,17.1,10.29451395572666,No
35,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,17.1,10.29451395572666,No
35,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,17.1,10.29451395572666,No
35,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,17.1,10.29451395572666,No
15,1000,300,14,2792.3431903373594,34.1,10.29451395572666,No
35,950,350,14,2792.3431903373594,34.1,10.29451395572666,No
15,1000,300,14,2792.3431903373594,29.9,10.29451395572666,No
15,1000,300,14,2792.3431903373594,34.1,10.29451395572666,No
15,1000,931.8667621776505,22,2792.3431903373594,25.6,10.29451395572666,No
15,1000,931.8667621776505,22,2792.3431903373594,25.6,10.29451395572666,No
35,950,350,14,2792.3431903373594,34.1,10.29451395572666,No
15,950,300,14,2792.3431903373594,29.9,10.29451395572666,No
15,1000,931.8667621776505,22,2792.3431903373594,25.6,10.29451395572666,No
47,1150,400,22,2792.3431903373594,25.6,10.29451395572666,No
47,1150,400,22,2792.3431903373594,25.6,10.29451395572666,No
47,1150,400,22,2792.3431903373594,25.6,10.29451395572666,No
15,1000,931.8667621776505,22,2792.3431903373594,25.6,10.29451395572666,No
35,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,21.3,10.29451395572666,No
35,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,21.3,10.29451395572666,No
17,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,21.3,10.29451395572666,No
35,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,17.1,10.29451395572666,No
35,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,21.3,10.29451395572666,No
47,1150,400,22,2792.3431903373594,25.6,10.29451395572666,No
35,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,8.5,10.29451395572666,No
5,900,300,14,2792.3431903373594,29.9,10.29451395572666,No
5,900,300,14,2792.3431903373594,29.9,10.29451395572666,No
5,1000,300,14,2792.3431903373594,29.9,10.29451395572666,No
5,850,300,14,2792.3431903373594,29.9,10.29451395572666,No
5,850,300,14,2792.3431903373594,25.6,10.29451395572666,No
5,900,300,14,2792.3431903373594,25.6,10.29451395572666,No
35,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,17.1,10.29451395572666,No
5,850,300,14,2792.3431903373594,25.6,10.29451395572666,No
15,1000,300,14,2792.3431903373594,34.1,10.29451395572666,No
35,900,350,14,2792.3431903373594,34.1,10.29451395572666,No
5,900,300,14,2792.3431903373594,25.6,10.29451395572666,No
17,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,21.3,10.29451395572666,No
35,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,21.3,10.29451395572666,No
35,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,21.3,10.29451395572666,No
5,800,931.8667621776505,14,2792.3431903373594,25.6,10.29451395572666,No
5,800,931.8667621776505,14,2792.3431903373594,25.6,10.29451395572666,No
45,1050,350,14,2792.3431903373594,34.1,10.29451395572666,No
45,1050,350,14,2792.3431903373594,34.1,10.29451395572666,No
5,800,300,14,2792.3431903373594,25.6,10.29451395572666,No
45,1050,350,14,2792.3431903373594,34.1,10.29451395572666,No
15,1050,300,14,2792.3431903373594,34.1,10.29451395572666,No
47,1050,300,14,2792.3431903373594,29.9,10.29451395572666,No
45,1050,350,14,2792.3431903373594,34.1,10.29451395572666,No
5,1100,350,32,2792.3431903373594,21.3,10.29451395572666,No
45,1100,931.8667621776505,22,2792.3431903373594,25.6,10.29451395572666,No
15,1050,300,14,2792.3431903373594,34.1,10.29451395572666,No
7,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,133.48198064035742,10.29451395572666,No
4,1000,931.8667621776505,22,2792.3431903373594,25.6,10.29451395572666,No
6,700,320,14,2792.3431903373594,25.6,10.29451395572666,No
10,896,311,22,2792.3431903373594,21.3,10.29451395572666,No
35,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,8.5,10.29451395572666,No
15,1189.6225218080888,931.8667621776505,14,2792.3431903373594,133.48198064035742,10.29451395572666,No
15,1050,300,14,2792.3431903373594,34.1,10.29451395572666,No
15,1000,300,14,2792.3431903373594,29.9,10.29451395572666,No
37,1050,300,14,2792.3431903373594,29.9,10.29451395572666,No
15,1050,300,14,2792.3431903373594,34.1,10.29451395572666,No
45,1050,350,14,2792.3431903373594,34.1,10.29451395572666,No
5,900,300,14,2792.3431903373594,25.6,10.29451395572666,No
5,1000,300,14,2792.3431903373594,29.9,10.29451395572666,No
15,1100,931.8667621776505,22,2792.3431903373594,25.6,10.29451395572666,No
15,950,300,14,2792.3431903373594,34.1,10.29451395572666,No
15,1100,931.8667621776505,22,2792.3431903373594,25.6,10.29451395572666,No
15,950,931.8667621776505,14,2792.3431903373594,29.9,10.29451395572666,No
47,1350,931.8667621776505,22,2792.3431903373594,25.6,10.29451395572666,No
15,1050,300,14,2792.3431903373594,34.1,10.29451395572666,No
55,1350,650,22,2792.3431903373594,25.6,10.29451395572666,No
20,850,931.8667621776505,22,2792.3431903373594,25.6,10.29451395572666,No
35,1189.6225218080888,931.8667621776505,28.836178861788618,2792.3431903373594,17.1,10.29451395572666,No
